Club,sacked,Matchday,Rankpre,preppg,leaving_date,tenure,coach,rankfinal,postppg,league
Queens Park Rangers,Chris Ramsey,37,20,0.79,18-May-15,103,Chris Ramsey,20,0,EPL
Sunderland,Gustavo Poyet,29,17,0.9,16-Mar-15,524,Dick Advocaat,16,1.33,EPL
Aston Villa,Scott Marshall,-,-,-,15-Feb-15,4,Tim Sherwood,17,1.23,EPL
Aston Villa,Paul Lambert,25,18,0.88,11-Feb-15,984,Scott Marshall,-,-,EPL
Queens Park Rangers,Harry Redknapp,23,19,0.83,3-Feb-15,800,Chris Ramsey,20,0.79,EPL
Crystal Palace,Keith Millen,20,18,1,2-Jan-15,6,Alan Pardew,10,1.72,EPL
Newcastle United,Alan Pardew,19,10,1.37,2-Jan-15,1485,Steve McClaren,-,-,EPL
West Bromwich Albion,Rob Kelly,20,17,1,1-Jan-15,2,Tony Pulis,13,1.44,EPL
West Bromwich Albion,Alan Irvine,19,16,0.89,29-Dec-14,181,Rob Kelly,17,1,EPL
Crystal Palace,Neil Warnock,18,18,0.94,27-Dec-14,122,Keith Millen,18,1,EPL
Crystal Palace,Keith Millen,2,18,0,27-Aug-14,12,Neil Warnock,18,0.94,EPL
Everton,Roberto Martínez,30,12,1.19,12-May-16,1072,David Unsworth,11,3,EPL
Aston Villa,Rémi Garde,31,20,0.6,29-Mar-16,147,Eric Black,20,0.14,EPL
Newcastle United,Steve McClaren,29,18,0.86,11-Mar-16,275,Rafael Benítez,18,1.3,EPL
Swansea,Alan Curtis,22,17,1.14,18-Jan-16,39,Francesco Guidolin,12,1.46,EPL
Chelsea,José Mourinho,16,16,0.94,17-Dec-15,899,Guus Hiddink,10,1.52,EPL
Swansea,Garry Monk,15,15,0.93,9-Dec-15,673,Alan Curtis,17,1.14,EPL
Aston Villa,Kevin MacDonald,11,20,0,2-Nov-15,7,Rémi Garde,20,0.6,EPL
Aston Villa,Tim Sherwood,10,20,0.4,25-Oct-15,251,Kevin MacDonald,20,0,EPL
Liverpool,Brendan Rodgers,8,10,1.5,4-Oct-15,1190,Jürgen Klopp,8,1.6,EPL
Sunderland,Dick Advocaat,8,19,0.38,4-Oct-15,201,Sam Allardyce,17,1.2,EPL
Everton,Roberto Martínez,30,12,1.19,12-May-16,1072,David Unsworth,11,3,EPL
Aston Villa,Rémi Garde,31,20,0.6,29-Mar-16,147,Eric Black,20,0.14,EPL
Newcastle United,Steve McClaren,29,18,0.86,11-Mar-16,275,Rafael Benítez,18,1.3,EPL
Swansea,Alan Curtis,22,17,1.14,18-Jan-16,39,Francesco Guidolin,12,1.46,EPL
Chelsea,José Mourinho,16,16,0.94,17-Dec-15,899,Guus Hiddink,10,1.52,EPL
Swansea,Garry Monk,15,15,0.93,9-Dec-15,673,Alan Curtis,17,1.14,EPL
Aston Villa,Kevin MacDonald,11,20,0,2-Nov-15,7,Rémi Garde,20,0.6,EPL
Aston Villa,Tim Sherwood,10,20,0.4,25-Oct-15,251,Kevin MacDonald,20,0,EPL
Liverpool,Brendan Rodgers,8,10,1.5,4-Oct-15,1190,Jürgen Klopp,8,1.6,EPL
West Bromwich Albion,Alan Pardew,32,20,0.44,2-Apr-18,124,Darren Moore,20,1.83,EPL
Southampton,Mauricio Pellegrino,30,17,0.93,12-Mar-18,254,Mark Hughes,17,1,EPL
Watford,Marco Silva,24,10,1.08,21-Jan-18,239,Javi Gracia,14,1.07,EPL
Stoke,Eddie Niedzwiecki,23,18,0,15-Jan-18,7,Paul Lambert,19,0.87,EPL
Stoke,Mark Hughes,22,18,0.91,6-Jan-18,1682,Eddie Niedzwiecki,18,0,EPL
Swansea,Leon Britton,20,20,0.5,28-Dec-17,7,Carlos Carvalhal,18,1.11,EPL
Swansea,Paul Clement,18,20,0.67,20-Dec-17,350,Leon Britton,20,0.5,EPL
Everton,David Unsworth,14,13,1.4,30-Nov-17,37,Sam Allardyce,8,1.42,EPL
West Bromwich Albion,Gary Megson,14,17,1,29-Nov-17,9,Alan Pardew,20,0.44,EPL
West Bromwich Albion,Tony Pulis,12,17,0.83,20-Nov-17,1054,Gary Megson,17,1,EPL
West Ham,Slaven Bilic,11,18,0.82,6-Nov-17,881,David Moyes,13,1.22,EPL
Leicester,Michael Appleton,9,14,3,25-Oct-17,8,Claude Puel,9,1.31,EPL
Everton,Ronald Koeman,9,18,0.89,23-Oct-17,479,David Unsworth,13,1.4,EPL
